date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:03	214859/214859	---M-Z	200	added ('OK')	text/html	etag:%223474b-6220d31715a19-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/modal.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/modal.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:03	198907/198907	---M-Z	200	added ('OK')	text/html	etag:%22308fb-6220d317169b9-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/notifications.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/notifications.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:03	197979/197979	---M-Z	200	added ('OK')	text/html	etag:%223055b-6220d317169b9-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/pagination.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/pagination.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:03	193696/193696	---M-Z	200	added ('OK')	text/html	etag:%222f4a0-6220d317169b9-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/popovers.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/popovers.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:04	195865/195865	---M-Z	200	added ('OK')	text/html	etag:%222fd19-6220d317169b9-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/progressbars.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/progressbars.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:04	208103/208103	---M-Z	200	added ('OK')	text/html	etag:%2232ce7-6220d317169b9-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/tabs.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/tabs.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:04	191514/191514	---M-Z	200	added ('OK')	text/html	etag:%222ec1a-6220d31717959-gzip%22	https://templates.iqonic.design/booksto-dist/html/ui-elements/tooltips.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/ui-elements/tooltips.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:04	245669/245669	---M-Z	200	added ('OK')	text/html	etag:%223bfa5-6220d3171989a-gzip%22	https://templates.iqonic.design/booksto-dist/html/widgets/widgets-basic.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/widgets/widgets-basic.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:05	225426/225426	---M-Z	200	added ('OK')	text/html	etag:%2237092-6220d3171989a-gzip%22	https://templates.iqonic.design/booksto-dist/html/widgets/widgets-chart.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/widgets/widgets-chart.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:05	237378/237378	---M-Z	200	added ('OK')	text/html	etag:%2239f42-6220d3171989a-gzip%22	https://templates.iqonic.design/booksto-dist/html/widgets/widgets-card.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/widgets/widgets-card.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:06	214743/214743	---M-Z	200	added ('OK')	text/html	etag:%22346d7-6220d31708ef4-gzip%22	https://templates.iqonic.design/booksto-dist/html/form/form-element.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/form/form-element.html	(from https://templates.iqonic.design/booksto-dist/html/)
12:27:07	200469/200469	---M-Z	200	added ('OK')	text/html	etag:%2230f15-6220d31709e95-gzip%22	https://templates.iqonic.design/booksto-dist/html/form/form-validation.html	D:/TemplateFE/BookSto/templates.iqonic.design/booksto-dist/html/form/form-validation.html	(from https://templates.iqonic.design/booksto-dist/html/)
